e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.0888,0.0681,135.0,0.8986,0.0206,0.0775,1.262,0.0736,11.06,0.1141,0.006655,16.0,0.0888,135.0,0.02070000000000001
0.0888,0.0679,135.0,0.899,0.0206,0.0775,1.157,0.06744,11.11,0.1041,0.006067,16.0,0.0888,135.0,0.020900000000000002
0.0888,0.0677,135.0,0.8994,0.0205,0.0775,1.152,0.06714,11.16,0.1032,0.006014,16.0,0.0888,135.0,0.021100000000000008
0.0888,0.0675,135.0,0.8999,0.0205,0.0774,1.134,0.06615,11.2,0.1012,0.005903,16.0,0.0888,135.0,0.0213
0.0888,0.0673,135.0,0.9003,0.0204,0.0774,1.103,0.06429,11.24,0.09808,0.005719,16.0,0.0888,135.0,0.021500000000000005
0.0888,0.0671,135.0,0.9007,0.0203,0.0774,1.172,0.06831,11.27,0.104,0.006061,16.0,0.0888,135.0,0.021699999999999997
0.0888,0.0669,135.0,0.9012,0.0203,0.0773,1.33,0.07755,11.29,0.1178,0.006867,16.0,0.0888,135.0,0.021900000000000003
0.0888,0.0667,135.0,0.9016,0.0202,0.0773,1.467,0.08552,11.31,0.1297,0.007562,16.0,0.0888,135.0,0.02210000000000001
0.0888,0.0665,135.0,0.902,0.0202,0.0773,1.567,0.09134,11.32,0.1384,0.008069,16.0,0.0888,135.0,0.0223
0.0888,0.0663,135.0,0.9025,0.0201,0.0772,1.634,0.09529,11.32,0.1443,0.008416,16.0,0.0888,135.0,0.022500000000000006
0.0888,0.0661,135.0,0.9029,0.02,0.0772,1.673,0.09757,11.32,0.1478,0.008619,16.0,0.0888,135.0,0.022699999999999998
0.0888,0.066,135.0,0.9031,0.02,0.0772,1.679,0.09788,11.32,0.1484,0.008649,16.0,0.0888,135.0,0.0228
0.0888,0.0658,135.0,0.9036,0.0199,0.0771,1.683,0.09815,11.3,0.1489,0.008684,16.0,0.0888,135.0,0.023000000000000007
0.0888,0.0656,135.0,0.904,0.0199,0.0771,1.66,0.0968,11.28,0.1471,0.008581,16.0,0.0888,135.0,0.0232
0.0888,0.0653,135.0,0.9047,0.0198,0.077,1.592,0.0928,11.23,0.1417,0.00826,16.0,0.0888,135.0,0.023500000000000007
0.0888,0.0651,135.0,0.9051,0.0197,0.077,1.559,0.0909,11.19,0.1393,0.008121,16.0,0.0888,135.0,0.0237
0.0888,0.0649,135.0,0.9055,0.0197,0.077,1.607,0.09372,11.14,0.1443,0.008411,16.0,0.0888,135.0,0.023900000000000005
0.0888,0.0648,135.0,0.9057,0.0196,0.0769,1.617,0.09425,11.11,0.1455,0.00848,16.0,0.0888,135.0,0.024000000000000007
0.0888,0.0645,135.0,0.9064,0.0196,0.0769,1.585,0.09243,11.01,0.1439,0.008392,16.0,0.0888,135.0,0.024300000000000002
0.0888,0.0643,135.0,0.9068,0.0195,0.0768,1.537,0.0896,10.94,0.1405,0.008194,16.0,0.0888,135.0,0.024500000000000008
0.0888,0.0641,135.0,0.9073,0.0194,0.0768,1.502,0.0876,10.85,0.1385,0.008077,16.0,0.0888,135.0,0.0247
0.0888,0.0639,135.0,0.9077,0.0194,0.0767,1.395,0.08135,10.75,0.1298,0.007571,16.0,0.0888,135.0,0.024900000000000005
0.0888,0.0637,135.0,0.9081,0.0193,0.0767,1.283,0.07484,10.63,0.1207,0.007039,16.0,0.0888,135.0,0.025099999999999997
